[2024-01-04 13:27:31,686] INFO [Controller id=0 epoch=1] Sending UpdateMetadata request to brokers Set() for 0 partitions (state.change.logger)
[2024-01-04 13:39:30,534] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers Set(0) for 0 partitions (state.change.logger)
[2024-01-04 13:39:30,876] INFO [Controller id=0 epoch=2] Sending LeaderAndIsr request to broker 0 with 51 become-leader and 0 become-follower partitions (state.change.logger)
[2024-01-04 13:39:30,880] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers Set(0) for 51 partitions (state.change.logger)
[2024-01-04 13:39:30,947] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2024-01-04 13:39:31,865] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,882] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,897] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,910] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,932] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,944] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,958] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,970] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,971] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,983] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,996] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:32,044] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:32,056] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:32,070] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:32,082] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:32,123] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:32,141] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:32,155] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:32,171] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:32,198] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:32,211] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:32,224] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:32,236] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:32,410] INFO [Broker id=0] Finished LeaderAndIsr request in 1509ms correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2024-01-04 13:39:32,451] INFO [Broker id=0] Add 51 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 2 with correlation id 2 (state.change.logger)
